Issue ID,Parent ID,Issue Type,Summary,Description,Sprint,Assignee,Priority,Start Date,Due Date,Story Points,Labels
1,,Epic,Project Setup & Authentication,Setup project infrastructure and authentication system,Sprint 1,,,13/Jun/26,26/Jun/26,,
2,,Epic,AI Recruitment Management,AI-powered CV filtering and recruitment workflow,Sprint 2,,,27/Jun/26,10/Jul/26,,
3,,Epic,Employee Management,Employee profiles and skill management,Sprint 3,,,11/Jul/26,31/Jul/26,,
4,,Epic,Project & Task Management,Project CRUD and task tracking system,Sprint 3,,,11/Jul/26,31/Jul/26,,
5,,Epic,AI Resource Allocation,AI-powered team recommendation and workload analysis,Sprint 3,,,20/Jul/26,31/Jul/26,,
6,,Epic,Attendance & Leave Management,Clock in/out and leave request system,Sprint 4,,,01/Aug/26,14/Aug/26,,
7,,Epic,Reporting & Analytics,Dashboards and downloadable reports,Sprint 4,,,05/Aug/26,14/Aug/26,,
8,,Epic,Notifications & Activity Logs,Alert system and activity tracking,Sprint 3-4,,,20/Jul/26,14/Aug/26,,
9,,Epic,System Integration & Testing,Module integration and QA testing,Sprint 4,,,08/Aug/26,14/Aug/26,,
10,,Epic,Documentation & Final Presentation,Project documentation and final demo,Week 10,,,15/Aug/26,21/Aug/26,,
11,1,Story,Setup Development Environment,Create repositories and configure all project services,Sprint 1,divagar,Highest,13/Jun/26,15/Jun/26,8,backend
12,11,Task,Create Git Repository,Initialize Git repository with README and .gitignore,Sprint 1,divagar,Highest,13/Jun/26,13/Jun/26,,backend
13,11,Task,Configure Branch Strategy,Create main dev feature/* release/* branches,Sprint 1,divagar,Highest,13/Jun/26,13/Jun/26,,backend
14,11,Task,Setup React Frontend (Vite + TypeScript),Install React Router Redux Toolkit Axios,Sprint 1,divagar,Highest,13/Jun/26,14/Jun/26,,frontend
15,11,Task,Setup Node.js Backend (Express),Install cors dotenv mongoose bcrypt jsonwebtoken,Sprint 1,thuva,Highest,13/Jun/26,14/Jun/26,,backend
16,11,Task,Setup Python AI Service,Install Flask/FastAPI create project structure requirements.txt,Sprint 1,bijon,Highest,14/Jun/26,15/Jun/26,,ai-service
17,11,Task,Configure MongoDB,Create database configure connection string create .env,Sprint 1,thuva,Highest,14/Jun/26,14/Jun/26,,database
18,11,Task,Configure Environment Variables,Create .env for client server AI service,Sprint 1,divagar,High,14/Jun/26,14/Jun/26,,backend
19,11,Task,Setup ESLint & Prettier,Configure linting for frontend and backend,Sprint 1,divagar,Medium,15/Jun/26,15/Jun/26,,backend
20,1,Story,Requirement Analysis & Documentation,Analyze requirements and create product backlog,Sprint 1,bijon,Highest,13/Jun/26,20/Jun/26,5,documentation
21,20,Task,Finalize Functional Requirements,Document all features from client meeting,Sprint 1,bijon,Highest,13/Jun/26,15/Jun/26,,documentation
22,20,Task,Write User Stories,Create user stories for all epics,Sprint 1,bijon,Highest,15/Jun/26,17/Jun/26,,documentation
23,20,Task,Define Acceptance Criteria,Write acceptance criteria for each story,Sprint 1,bijon,High,17/Jun/26,18/Jun/26,,documentation
24,20,Task,Prepare Product Backlog,Prioritize all stories in Jira,Sprint 1,bijon,High,18/Jun/26,19/Jun/26,,documentation
25,20,Task,Create Initial Test Plan,Outline test strategy for all sprints,Sprint 1,bijon,Medium,19/Jun/26,20/Jun/26,,testing
26,1,Story,Database Design,Design all MongoDB collections and relationships,Sprint 1,thuva,Highest,15/Jun/26,21/Jun/26,8,database
27,26,Task,Design ER Diagram,Identify all entities and relationships,Sprint 1,thuva,Highest,15/Jun/26,17/Jun/26,,database
28,26,Task,Create User Collection,Fields: name email password role department skills status,Sprint 1,thuva,Highest,17/Jun/26,18/Jun/26,,database
29,26,Task,Create Job Collection,Fields: title description requirements department status postedBy deadline,Sprint 1,thuva,High,18/Jun/26,18/Jun/26,,database
30,26,Task,Create Candidate Collection,Fields: name email phone resumeUrl skills education experience score status,Sprint 1,thuva,High,18/Jun/26,19/Jun/26,,database
31,26,Task,Create Project Collection,Fields: name description manager team tasks deadline status progress,Sprint 1,thuva,High,19/Jun/26,19/Jun/26,,database
32,26,Task,Create Task Collection,Fields: title project assignee status deadline priority documents comments,Sprint 1,thuva,High,19/Jun/26,20/Jun/26,,database
33,26,Task,Create Attendance Collection,Fields: employee date clockIn clockOut totalHours overtime status,Sprint 1,thuva,High,20/Jun/26,20/Jun/26,,database
34,26,Task,Create Leave Collection,Fields: employee type startDate endDate reason status approvedBy,Sprint 1,thuva,High,20/Jun/26,20/Jun/26,,database
35,26,Task,Create ActivityLog Collection,Fields: user action module details timestamp ipAddress,Sprint 1,thuva,Medium,20/Jun/26,20/Jun/26,,database
36,26,Task,Create Notification Collection,Fields: recipient type message read link createdAt,Sprint 1,thuva,Medium,20/Jun/26,20/Jun/26,,database
37,26,Task,Seed Sample Data,Create seed script with sample users jobs candidates,Sprint 1,thuva,Medium,20/Jun/26,21/Jun/26,,database
38,1,Story,Authentication System,Implement JWT authentication and role-based access,Sprint 1,thuva,Highest,18/Jun/26,22/Jun/26,13,backend
39,38,Task,User Registration API,POST /api/auth/register validate hash password create user,Sprint 1,thuva,Highest,18/Jun/26,19/Jun/26,,backend
40,38,Task,User Login API,POST /api/auth/login validate credentials return JWT,Sprint 1,thuva,Highest,19/Jun/26,20/Jun/26,,backend
41,38,Task,JWT Middleware,Verify token attach user to request,Sprint 1,thuva,Highest,20/Jun/26,20/Jun/26,,backend
42,38,Task,Role-Based Access Middleware,Check user role Admin HR Manager Employee before route access,Sprint 1,thuva,Highest,20/Jun/26,21/Jun/26,,backend
43,38,Task,Password Encryption (bcrypt),Hash passwords on registration compare on login,Sprint 1,thuva,Highest,19/Jun/26,19/Jun/26,,backend
44,38,Task,Token Refresh API,POST /api/auth/refresh issue new JWT,Sprint 1,thuva,High,21/Jun/26,22/Jun/26,,backend
45,38,Task,Logout API,POST /api/auth/logout invalidate token,Sprint 1,thuva,Medium,22/Jun/26,22/Jun/26,,backend
46,38,Task,Get Current User API,GET /api/auth/me return authenticated user profile,Sprint 1,thuva,High,22/Jun/26,22/Jun/26,,backend
47,1,Story,UI Foundation & Dashboard,Build login registration dashboard layout and navigation,Sprint 1,divagar,High,18/Jun/26,24/Jun/26,13,frontend
48,47,Task,Login Page UI,Email password fields login button form validation error messages,Sprint 1,divagar,Highest,18/Jun/26,19/Jun/26,,frontend
49,47,Task,Registration Page UI,Name email password role selector submit button,Sprint 1,divagar,Highest,19/Jun/26,20/Jun/26,,frontend
50,47,Task,Dashboard Layout,Header sidebar main content area footer,Sprint 1,divagar,Highest,20/Jun/26,22/Jun/26,,frontend
51,47,Task,Navigation & Sidebar,Role-based menu items icons active state collapse/expand,Sprint 1,divagar,High,22/Jun/26,23/Jun/26,,frontend
52,47,Task,Responsive Design,Mobile-friendly layout breakpoints hamburger menu,Sprint 1,divagar,High,23/Jun/26,24/Jun/26,,frontend
53,47,Task,Redux Store Setup,Auth slice user state token management,Sprint 1,divagar,Highest,20/Jun/26,21/Jun/26,,frontend
54,47,Task,API Service Layer,Axios instance interceptors base URL config,Sprint 1,divagar,Highest,21/Jun/26,21/Jun/26,,frontend
55,47,Task,Protected Route Component,Redirect to login if not authenticated role-based route guard,Sprint 1,divagar,Highest,21/Jun/26,22/Jun/26,,frontend
56,47,Task,Theme & Design System,Colors typography spacing components buttons cards inputs,Sprint 1,divagar,High,23/Jun/26,24/Jun/26,,frontend
57,1,Story,Sprint 1 Risk Assessment,Identify and assess project risks,Sprint 1,maari,High,15/Jun/26,25/Jun/26,3,documentation
58,57,Task,Create Risk Register,Identify top 10 project risks impact probability mitigation,Sprint 1,maari,High,15/Jun/26,17/Jun/26,,documentation
59,57,Task,Review Authentication Security,Check JWT config password hashing CORS settings,Sprint 1,maari,High,22/Jun/26,23/Jun/26,,testing
60,57,Task,Review Environment Security,Check .env is gitignored no secrets in code,Sprint 1,maari,High,23/Jun/26,24/Jun/26,,testing
61,57,Task,Sprint 1 Risk Report,Document risks identified during Sprint 1,Sprint 1,maari,Medium,24/Jun/26,25/Jun/26,,documentation
62,1,Story,Sprint 1 QA & Review,Test authentication and review UI,Sprint 1,bijon,High,23/Jun/26,26/Jun/26,5,testing
63,62,Task,Test User Registration,Valid/invalid inputs duplicate email role assignment,Sprint 1,bijon,High,23/Jun/26,24/Jun/26,,testing
64,62,Task,Test User Login,Correct/incorrect credentials JWT returned role verified,Sprint 1,bijon,High,24/Jun/26,24/Jun/26,,testing
65,62,Task,Test Role-Based Access,Admin vs HR vs Manager vs Employee route access,Sprint 1,bijon,High,24/Jun/26,25/Jun/26,,testing
66,62,Task,Review UI Consistency,Login register dashboard match design system,Sprint 1,bijon,Medium,25/Jun/26,25/Jun/26,,testing
67,62,Task,Sprint 1 Review & Retrospective,Demo to team document lessons learned,Sprint 1,bijon,High,25/Jun/26,26/Jun/26,,documentation
68,2,Story,Job Vacancy Management,CRUD operations for job vacancies,Sprint 2,thuva,Highest,27/Jun/26,01/Jul/26,8,backend
69,68,Task,Create Job API,POST /api/jobs title description requirements department deadline,Sprint 2,thuva,Highest,27/Jun/26,28/Jun/26,,backend
70,68,Task,Edit Job API,PUT /api/jobs/:id update job details,Sprint 2,thuva,High,28/Jun/26,28/Jun/26,,backend
71,68,Task,Delete Job API,DELETE /api/jobs/:id soft delete job,Sprint 2,thuva,High,28/Jun/26,28/Jun/26,,backend
72,68,Task,Get All Jobs API,GET /api/jobs list with pagination filtering search,Sprint 2,thuva,Highest,28/Jun/26,29/Jun/26,,backend
73,68,Task,Get Single Job API,GET /api/jobs/:id job details with candidate count,Sprint 2,thuva,High,29/Jun/26,29/Jun/26,,backend
74,68,Task,Job Vacancy UI - List View,Table/card view with search filter pagination,Sprint 2,divagar,Highest,27/Jun/26,29/Jun/26,,frontend
75,68,Task,Job Vacancy UI - Create/Edit Form,Form with validation department selector deadline picker,Sprint 2,divagar,Highest,29/Jun/26,30/Jun/26,,frontend
76,68,Task,Job Vacancy UI - Detail View,Job details page with candidate list stats,Sprint 2,divagar,High,30/Jun/26,01/Jul/26,,frontend
77,2,Story,Candidate Management,Resume upload and candidate profile management,Sprint 2,thuva,Highest,29/Jun/26,03/Jul/26,13,backend
78,77,Task,Resume Upload API,POST /api/candidates/upload accept PDF/DOCX store file create candidate,Sprint 2,thuva,Highest,29/Jun/26,30/Jun/26,,backend
79,77,Task,Bulk Resume Upload API,POST /api/candidates/bulk-upload multiple CVs at once,Sprint 2,thuva,High,30/Jun/26,01/Jul/26,,backend
80,77,Task,Candidate Profile API,GET /api/candidates/:id full profile with history documents scores,Sprint 2,thuva,High,01/Jul/26,01/Jul/26,,backend
81,77,Task,Candidate List API,GET /api/candidates filter by job status score date,Sprint 2,thuva,Highest,01/Jul/26,02/Jul/26,,backend
82,77,Task,Duplicate Detection API,Check email phone name+experience match before creating,Sprint 2,thuva,High,02/Jul/26,02/Jul/26,,backend
83,77,Task,Candidate History API,GET /api/candidates/:id/history all applications interviews status changes,Sprint 2,thuva,Medium,02/Jul/26,03/Jul/26,,backend
84,77,Task,Resume Upload UI,Drag-and-drop zone file type validation progress indicator,Sprint 2,divagar,Highest,30/Jun/26,01/Jul/26,,frontend
85,77,Task,Candidate Profile UI,Full profile page personal info skills education experience score documents,Sprint 2,divagar,High,01/Jul/26,02/Jul/26,,frontend
86,77,Task,Candidate List UI,Table with sorting filtering by score/status/job search,Sprint 2,divagar,High,02/Jul/26,03/Jul/26,,frontend
87,77,Task,Duplicate Warning UI,Modal showing potential duplicates before saving,Sprint 2,divagar,Medium,03/Jul/26,03/Jul/26,,frontend
88,2,Story,AI Resume Screening,AI-powered resume parsing scoring and ranking,Sprint 2,bijon,Highest,27/Jun/26,09/Jul/26,21,ai-service
89,88,Task,Resume Parser Service,Python extract text from PDF/DOCX parse sections,Sprint 2,bijon,Highest,27/Jun/26,30/Jun/26,,ai-service
90,88,Task,Skill Extraction Engine,NLP extract technical skills soft skills certifications from resume text,Sprint 2,bijon,Highest,30/Jun/26,02/Jul/26,,ai-service
91,88,Task,Education Matching,Compare candidate education level/field with job requirements,Sprint 2,bijon,High,02/Jul/26,03/Jul/26,,ai-service
92,88,Task,Experience Matching,Compare years of experience relevant industry job titles,Sprint 2,bijon,High,03/Jul/26,04/Jul/26,,ai-service
93,88,Task,AI Scoring Algorithm,Weighted scoring: skills 40% experience 30% education 20% certifications 10%,Sprint 2,bijon,Highest,04/Jul/26,06/Jul/26,,ai-service
94,88,Task,Candidate Ranking API,POST /api/ai/rank-candidates rank all candidates for a job by AI score,Sprint 2,bijon,Highest,06/Jul/26,07/Jul/26,,ai-service
95,88,Task,Custom Filtering Criteria API,POST /api/ai/filter-config allow recruiters to adjust weights per job,Sprint 2,bijon,High,07/Jul/26,08/Jul/26,,ai-service
96,88,Task,AI Integration with Backend,Connect Python AI service with Node.js backend via REST/HTTP,Sprint 2,bijon,Highest,08/Jul/26,09/Jul/26,,ai-service
97,88,Task,AI Results UI - Ranking View,Ranked candidate list with scores skill match % experience match %,Sprint 2,divagar,High,06/Jul/26,08/Jul/26,,frontend
98,88,Task,AI Results UI - Filter Config,UI for adjusting scoring weights per recruitment campaign,Sprint 2,divagar,Medium,08/Jul/26,09/Jul/26,,frontend
99,2,Story,Recruitment Workflow,Shortlisting recruiter review and interview tracking,Sprint 2,thuva,High,05/Jul/26,09/Jul/26,8,backend
100,99,Task,Shortlist Candidate API,PUT /api/candidates/:id/shortlist move to shortlisted status,Sprint 2,thuva,High,05/Jul/26,05/Jul/26,,backend
101,99,Task,Recruiter Review API,PUT /api/candidates/:id/review add review notes decision,Sprint 2,thuva,High,05/Jul/26,06/Jul/26,,backend
102,99,Task,Interview Status API,PUT /api/candidates/:id/interview schedule update interview status,Sprint 2,thuva,High,06/Jul/26,07/Jul/26,,backend
103,99,Task,Recruiter Comments API,POST /api/candidates/:id/comments add/view recruiter notes,Sprint 2,thuva,Medium,07/Jul/26,07/Jul/26,,backend
104,99,Task,Recruitment Pipeline UI (Kanban),Kanban board Applied Screened Shortlisted Interview Hired/Rejected,Sprint 2,divagar,High,05/Jul/26,08/Jul/26,,frontend
105,99,Task,Recruiter Review UI,Review panel with candidate details AI score add notes approve/reject,Sprint 2,divagar,High,08/Jul/26,09/Jul/26,,frontend
106,2,Story,Sprint 2 Risk & Security,CV data privacy and access control review,Sprint 2,maari,High,05/Jul/26,09/Jul/26,3,testing
107,106,Task,CV Data Privacy Review,Ensure uploaded CVs are stored securely access controlled,Sprint 2,maari,High,05/Jul/26,06/Jul/26,,testing
108,106,Task,Recruitment Access Control,Verify only HR roles can access recruitment module,Sprint 2,maari,High,06/Jul/26,07/Jul/26,,testing
109,106,Task,AI Bias Review,Check AI scoring does not discriminate based on irrelevant factors,Sprint 2,maari,Medium,07/Jul/26,08/Jul/26,,testing
110,106,Task,Sprint 2 Risk Report,Document risks found and mitigation actions,Sprint 2,maari,Medium,08/Jul/26,09/Jul/26,,documentation
111,2,Story,Sprint 2 QA & Client Demo,Test recruitment module and prepare client demo,Sprint 2,bijon,High,07/Jul/26,10/Jul/26,5,testing
112,111,Task,Test Job Vacancy CRUD,Create edit delete list jobs,Sprint 2,bijon,High,07/Jul/26,08/Jul/26,,testing
113,111,Task,Test Resume Upload,Single/bulk upload file types error handling,Sprint 2,bijon,High,08/Jul/26,08/Jul/26,,testing
114,111,Task,Test AI Ranking,Verify scores ranking order skill extraction accuracy,Sprint 2,bijon,Highest,08/Jul/26,09/Jul/26,,testing
115,111,Task,Test Recruitment Workflow,Pipeline stages status changes comments,Sprint 2,bijon,High,09/Jul/26,09/Jul/26,,testing
116,111,Task,Prepare Client Demo,Setup demo data prepare talking points,Sprint 2,bijon,High,09/Jul/26,10/Jul/26,,documentation
117,111,Task,Client Meeting 2 - Conduct Demo,Present recruitment module to client,Sprint 2,bijon,Highest,10/Jul/26,10/Jul/26,,documentation
118,3,Story,Employee Management Module,Employee CRUD profiles skills and performance,Sprint 3,thuva,Highest,11/Jul/26,17/Jul/26,13,backend
119,118,Task,Create Employee API,POST /api/employees personal info department role skills contact,Sprint 3,thuva,Highest,11/Jul/26,12/Jul/26,,backend
120,118,Task,Update Employee API,PUT /api/employees/:id edit profile skills department,Sprint 3,thuva,High,12/Jul/26,12/Jul/26,,backend
121,118,Task,Delete Employee API,DELETE /api/employees/:id soft delete deactivate,Sprint 3,thuva,High,12/Jul/26,12/Jul/26,,backend
122,118,Task,Get Employee List API,GET /api/employees pagination search filter by department/role/skill,Sprint 3,thuva,Highest,12/Jul/26,13/Jul/26,,backend
123,118,Task,Get Employee Profile API,GET /api/employees/:id full profile with projects tasks performance,Sprint 3,thuva,High,13/Jul/26,13/Jul/26,,backend
124,118,Task,Employee Skills API,PUT /api/employees/:id/skills add/update skills with proficiency,Sprint 3,thuva,High,13/Jul/26,14/Jul/26,,backend
125,118,Task,Employee Performance API,GET /api/employees/:id/performance task completion rate project count attendance %,Sprint 3,thuva,High,14/Jul/26,15/Jul/26,,backend
126,118,Task,Employee List UI,Table with search department filter role filter status badges,Sprint 3,divagar,Highest,11/Jul/26,14/Jul/26,,frontend
127,118,Task,Employee Profile UI,Profile page info skills radar chart current projects recent tasks,Sprint 3,divagar,High,14/Jul/26,16/Jul/26,,frontend
128,118,Task,Employee Create/Edit Form UI,Form with validation skill tags department selector,Sprint 3,divagar,High,16/Jul/26,17/Jul/26,,frontend
